boss_order_id,order_date,shop,Brands,shipping_country,Order Total (GBP),Refund (GBP),net_revenue_gbp,has_coupon,coupon_code,campaign_type_clean
2824399,2023-08-16,CrazyBulk USA,CrazyBulk,US,535.39,0.0,487.82687927107065,True,"FREE PRODUCT,SALE20",No coupon
2253408,2022-11-05,CrazyBulk UK,CrazyBulk,GB,533.89,0.0,444.90833333333336,True,",FREE PRODUCT,SALE20",No coupon
3327006,2024-11-14,CrazyBulk USA,CrazyBulk,US,533.82,0.0,493.1362586605081,True,FREE PRODUCT,No coupon
2194021,2022-09-21,CrazyBulk USA,CrazyBulk,US,532.9413755181457,0.0,491.1902078508256,True,FREE PRODUCT,No coupon
3145670,2024-04-04,CrazyBulk USA,CrazyBulk,US,532.87,0.0,489.4328358208955,True,",,FREE PRODUCT,EASTER",No coupon
3242340,2024-07-17,CrazyBulk USA,CrazyBulk,US,532.13,0.0,492.7129629629629,True,",,FREE PRODUCT,QUIZ20",No coupon
2834276,2023-08-20,CrazyBulk USA,CrazyBulk,US,531.99,0.0,462.6,True,",,FREE PRODUCT",No coupon
3237078,2024-07-10,CrazyBulk USA,CrazyBulk,US,531.69,0.0,488.3490241102181,True,FREE PRODUCT,No coupon
3232665,2024-07-07,CrazyBulk USA,CrazyBulk,US,531.47,531.47,0.0,True,"FREE PRODUCT,SALE20",No coupon
2905857,2023-09-25,CrazyBulk USA,CrazyBulk,US,530.94,0.0,491.6111111111112,True,FREE PRODUCT,No coupon
2557637,2023-04-10,CrazyBulk USA,CrazyBulk,US,530.91,0.0,482.91764449053096,True,"FREE PRODUCT,SALE20",No coupon
3346959,2024-12-09,CrazyBulk USA,CrazyBulk,US,530.82,216.64,289.56682027649777,True,",FREE PRODUCT",No coupon
1861238,2022-02-07,CrazyBulk USA,CrazyBulk,US,530.5745102355272,0.0,487.32446405100086,True,"BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2677626,2023-06-04,CrazyBulk USA,CrazyBulk,US,530.03,0.0,476.6456834532373,True,",VIP TIER GIFT,FREE PRODUCT,REWARDS,RETURN25",No coupon
2070160,2022-06-23,SupplementShippers,SupplementShippers,US,529.2117713094378,0.0,499.2563880277715,True,EXCS40,No coupon
2235602,2022-10-24,CrazyBulk AUS,CrazyBulk,AU,528.9274169850132,0.0,480.843106350012,True,",FREE PRODUCT",No coupon
1859222,2022-02-05,CrazyBulk USA,CrazyBulk,US,528.2265756842028,0.0,486.8447702158551,True,"FREE PRODUCT,BUY 2 GET 1 FREE",No coupon
2873211,2023-09-07,CrazyBulk USA,CrazyBulk,US,528.05,0.0,528.05,True,"FREE PRODUCT,SALE20",No coupon
3110850,2024-03-07,CrazyBulk UK,CrazyBulk,GB,528.0,0.0,440.0,True,"FREE PRODUCT,SALE20",No coupon
2736991,2023-07-03,CrazyBulk CA,CrazyBulk,CA,527.9,0.0,527.9,True,",FREE PRODUCT,SALE20",No coupon
2914727,2023-09-30,CrazyBulk USA,CrazyBulk,US,527.76,0.0,484.6280991735537,True,",FREE PRODUCT",No coupon
3285317,2024-09-12,CrazyBulk USA,CrazyBulk,US,527.75,0.0,474.5953237410072,True,RETURN20,No coupon
2474380,2023-03-03,CrazyBulk USA,CrazyBulk,US,527.13,0.0,484.1607347876004,True,FREE PRODUCT,No coupon
2995884,2023-11-27,CrazyBulk USA,CrazyBulk,US,527.02,0.0,497.18867924528297,True,"FREE PRODUCT,SALE20",No coupon
2976258,2023-11-13,CrazyBulk USA,CrazyBulk,US,526.58,0.0,483.6555683122848,True,",FREE PRODUCT",No coupon
2095635,2022-07-10,CrazyBulk USA,CrazyBulk,US,525.9972377934845,0.0,482.5662732050316,True,",FREE PRODUCT,BUY 2 GET 1 FREE",No coupon
2095218,2022-07-10,CrazyBulk USA,CrazyBulk,US,525.9972377934845,0.0,478.44897832731584,True,",FREE PRODUCT,BUY 2 GET 1 FREE",No coupon
2567112,2023-04-14,CrazyBulk USA,CrazyBulk,US,525.37,0.0,492.1498829039813,True,"FREE PRODUCT,LCBHS1PPT3FBG",No coupon
3207877,2024-06-10,CrazyBulk UK,CrazyBulk,GB,524.96,0.0,437.4666666666667,False,,No coupon
3331733,2024-11-20,CrazyBulk UK,CrazyBulk,GB,524.94,0.0,437.4500000000001,True,LCBUKX9BJ02KMIK,No coupon
2146309,2022-08-17,PhenQ CA,Phen Q,CA,524.5919689119171,174.8639896373057,349.72797927461136,False,,No coupon
2379964,2023-01-14,CrazyBulk USA,CrazyBulk,US,524.43,0.0,524.43,True,",FREE PRODUCT,SALE20",No coupon
3281849,2024-09-08,CrazyBulk UK,CrazyBulk,GB,522.98,0.0,435.8166666666667,True,",,SALE20",No coupon
2868454,2023-09-05,CrazyBulk USA,CrazyBulk,US,522.89,0.0,493.2924528301887,True,",FREE PRODUCT,SALE20",No coupon
3017558,2023-12-19,CrazyBulk USA,CrazyBulk,US,522.85,0.0,470.1888489208633,True,"FREE PRODUCT,LCBUOURXJY4XJ",No coupon
3115632,2024-03-11,CrazyBulk USA,CrazyBulk,US,522.83,0.0,488.6261682242991,True,"FREE PRODUCT,SALE20",No coupon
2626196,2023-05-11,CrazyBulk USA,CrazyBulk,US,522.69,0.0,493.1037735849057,True,"FREE PRODUCT,SALE20",No coupon
