antecedent,consequent,pair_order_count,support,confidence,lift
protect,NC-GUIDES,732,0.0007257383296914225,0.06002460024600246,20.282242042520927
AS6494P3,CB2739P1,228,0.00022604964367437747,0.10326086956521739,19.577406832298138
CB2739P1,AS6494P3,228,0.00022604964367437747,0.04285714285714286,19.577406832298138
CB2419P1,CB2418P1,242,0.00023992988495262873,0.07373552711761121,19.020899551299735
CB2418P1,CB2419P1,242,0.00023992988495262873,0.061892583120204604,19.020899551299735
CB2739P1,CB2586P1,727,0.0007207811006634756,0.13665413533834586,18.920135513801664
CB2586P1,CB2739P1,727,0.0007207811006634756,0.09979409746053534,18.920135513801664
CN2515P1,CNPTGAFLYER,214,0.00021216940239612622,0.06434155141310884,18.79429201236639
CNPTGAFLYER,CN2515P1,214,0.00021216940239612622,0.061975094121054154,18.79429201236639
CN2515P1,CNTPSCFLYER,214,0.00021216940239612622,0.06434155141310884,18.77797752277232
CNTPSCFLYER,CN2515P1,214,0.00021216940239612622,0.061921296296296294,18.77797752277232
NC-GUIDES,NC4532P3,1160,0.0011500771344836748,0.38860971524288107,18.671111316438655
NC4532P3,NC-GUIDES,1160,0.0011500771344836748,0.05525651407612061,18.671111316438655
AS1373P1,CB2739P1,446,0.0004421848292928612,0.0908720456397718,17.22858827999093
CB2739P1,AS1373P1,446,0.0004421848292928612,0.08383458646616541,17.22858827999093
CB2565M3,AS6488P1,949,0.0009408820695043168,0.7108614232209738,16.430513212808204
AS6488P1,CB2565M3,949,0.0009408820695043168,0.021747101150373527,16.430513212808204
AS6485P1,AS6492P1,671,0.0006652601355504706,0.1984033116499113,15.602302777391762
AS6492P1,AS6485P1,671,0.0006652601355504706,0.05231560891938251,15.602302777391762
TP-GUIDES,protect,1921,0.0019045673925371892,0.18805677924620656,15.553860855887072
protect,TP-GUIDES,1921,0.0019045673925371892,0.15752357523575236,15.553860855887072
CB2585P1,CB2608P1,221,0.00021910952303525185,0.05924932975871314,15.003899818195158
CB2608P1,CB2585P1,221,0.00021910952303525185,0.055485814712528246,15.003899818195158
CB2562P1,CB2586P1,332,0.00032916000745567247,0.10668380462724936,14.770661975782192
CB2586P1,CB2562P1,332,0.00032916000745567247,0.04557309540150995,14.770661975782192
P8-GUIDES,protect,486,0.0004818426615164362,0.17475728155339806,14.453881703865582
protect,P8-GUIDES,486,0.0004818426615164362,0.03985239852398524,14.453881703865582
CB2419P1,CB2416P1,265,0.00026273313848118433,0.08074344911639245,13.766075658446361
CB2416P1,CB2419P1,265,0.00026273313848118433,0.04479377958079784,13.766075658446361
CB2418P1,CB2415P1,221,0.00021910952303525185,0.05652173913043478,13.53178464174037
CB2415P1,CB2418P1,221,0.00021910952303525185,0.052456681699501545,13.53178464174037
AS6494P1,CBLOYALFLYER,826,0.0008189342354168236,0.13673232908458866,13.483775481025662
CBLOYALFLYER,AS6494P1,826,0.0008189342354168236,0.08075870160344154,13.483775481025662
CB2739P1,AS6384M4,972,0.0009636853230328724,0.18270676691729323,13.381973778393409
AS6384M4,CB2739P1,972,0.0009636853230328724,0.07058310943286616,13.381973778393409
WB2464P5,WB4957P5,375,0.00037179217709601555,0.2757352941176471,12.976592862789012
WB4957P5,WB2464P5,375,0.00037179217709601555,0.01749720044792833,12.976592862789012
AS6487P1,CB2586P1,376,0.00037278362290160493,0.09283950617283951,12.853881322182398
CB2586P1,AS6487P1,376,0.00037278362290160493,0.05161290322580645,12.853881322182398
WS5399M3,CB2739P1,311,0.0003083396455382956,0.06777075615602528,12.848774857169072
CB2739P1,WS5399M3,311,0.0003083396455382956,0.058458646616541356,12.848774857169072
