sku,orders_with_sku,revenue_alloc_gbp
CB0513P1,1014,29187.260517925042
AS1114P2,1002,48064.15212047773
WB2460BF2,988,52022.62747728635
CN1426P1,960,36921.653799487765
WS1268BF12,938,177094.11457672744
WB2588P3,933,75216.62284628922
CN2500P1,922,25907.058635957404
CB2417P1,902,28487.473866674387
CB2461M12,899,106245.99064057901
WS1267BF4,884,72888.42807995678
CN2633P1,845,25570.425066103835
AS6385P12,836,67763.80620224719
SEMENOLL-5,816,105508.39551052329
CB0537P1,808,18294.759515472724
NC4532BF6,790,90402.51616331836
YB-GUIDES,781,31840.272958876372
CN2390P1,775,23299.020061075753
WB2528P1,767,32699.414001021087
AS2376P2,745,34544.088787139255
WS1267BF2,725,36478.3731046618
WB2460BF4,684,60386.66710042103
AS6487P3,663,28682.381760577773
CB2420P3,661,31844.067284356624
AS6485P3,660,30513.375248451714
WB2464BF4,650,50570.58566797605
CB2416P5,635,42427.51583728278
AS5372M10,604,83577.07993836091
AS6488P2,592,27098.51112604371
WS1268P2,585,29904.242342661277
AS6634P1,583,19365.078647201517
AS6634P3,581,29873.586217509303
CB2642M8,576,42208.99219909235
CB2463M15,573,76068.64017331194
SP40029,568,10095.272083333333
WB2394BF4,560,46309.82328149776
CB2462M12,559,68766.06367200086
WB2563M3,544,26408.430148750886
WS1268BF7,543,72191.89825766052
CB2418P5,542,36103.489061401895
TPGIFTCARD,533,26205.373440580115
WS1267BF6,519,55382.32092691295
AS4997M15,518,63205.48185496394
CN1424P1,512,17660.442792800346
AS6269BF12,511,109217.81147126947
CB2643M8,502,36842.59985473508
WS5399M9,494,41243.83442126978
KC1372P5,488,59964.376811223134
CB2564M3,479,20703.43642304045
AS6489P3,474,21920.23072598361
AS6269BFM6,467,61945.421951484626
WB2583P5,463,61590.84398267696
CB2569M3,462,19283.834129207487
CN2622P1,452,18370.52306292554
CB2567M3,436,18021.43837779571
CN1404P1,432,15656.659112469964
WB2394BF2,430,20511.69440606789
AS6495P2,416,20947.78969705309
AS4998M12,404,40561.59650490812
PQGIFTCARD,374,19520.650653629487
SP40067,368,7704.684077269559
CB2571M3,356,14262.034248663656
AS9834P3,350,26869.337291426575
AS6352M9,333,40561.13916688054
CB2417P3,331,16050.493790038301
AS6384M9,320,38934.712523732574
WB2460BF6,319,41132.64072510715
AS6486P2,303,13376.087750331957
WB2521P1,299,17177.72425934556
CN2621P1,298,11398.589631513394
WS5399M3EU,289,14678.231202148761
AS6493P2,283,12993.433204770929
WB2394BF6,281,34472.91946387094
NC4532BF12,276,53832.07541449291
SP-MEMBERSHIP6,275,904.8944740119209
WB2528P3,264,20195.47481712249
NC4532P2,249,10695.826047787365
CB2415P5,249,15834.87205867101
AS5129P3,243,15240.427118008889
AS6493P5,243,17607.76164140285
AS1359P3,242,14231.808565279774
CB2645M12,237,24495.954023735907
CB2419P5,236,15616.481604826386
CB2613M3,226,11142.594178135023
AS6569M13,222,39257.57360722562
AS6492P2,209,9414.085375540666
CN1428P2,205,10440.70162009277
WB2464BF6,198,22151.77719411008
AS1185M2,197,6224.340136695936
AS6488P5,196,17150.79585147476
CB2568M3,188,7891.533406288507
SP1234P2,186,2209.902641515499
SP1244P2,186,2209.902641515499
SP1182P2,186,2209.902641515499
SP1250P2,186,2209.902641515499
WB2587P1,184,8354.20593975972
AS6385BF8,181,16698.860050421008
CB2603M3,179,9193.938023608765
AS6490P2,178,7985.236778423156
BRF-KIT,170,2171.2666865079364
WB2638P1,166,7554.349489523221
CB0537P2,165,7291.944146522556
WB2588P5,163,18305.111297089672
SP40049,162,2800.2640700483093
CB2647M8,160,14760.060234084298
CB0520P2,160,3937.1451873325354
AS5004P1,158,4474.3606300817255
CB2463M25,155,28788.502926615976
CB2641M4,153,6759.988639216721
AS6494P3EU,153,5705.598232957509
AS3984P1,153,6501.074087321178
CB2644M10,152,13286.243254687599
AS6385BF4,151,8080.104433718646
AS9834P1,150,6305.758367624143
AS5372M11,146,21038.395377095145
SP40048,146,2644.535068795431
SP40042,145,2733.8307227637893
CN2635P1,144,4454.554501430704
AS9834P5,141,16739.588978958367
CB2461M20,133,21647.310309435416
WB1455P1,129,2691.5104166666665
AS6269BFM12,129,30125.10972622045
CN1424P3,126,6673.604329486701
CN2491M3,122,10546.784081451728
CB2607M3,120,5675.994786654668
WS1267BF12,119,25838.525620532197
CB2420P5,119,7864.8699258919505
WB2522P1,116,5812.449621212121
WB1448P1,116,2747.0494444444444
CB2649M8,115,7983.768110339999
SP40022,113,1970.856151135349
CB2646M6,109,6606.616160040104
CB2632BFM2,104,4986.296942981653
WB2528P5,104,10473.801714729743
CB2605M3,102,5133.808103474504
AS1114M2,102,3206.5262411539134
WB2523P1,99,4086.898781537172
WS2446BF4,96,8185.7144127508245
AS6269BFM8,95,16001.055526442102
WB2590P2,95,2726.471666666667
SP40045,95,1937.5577777777776
CB2504P1,93,2540.6060743715525
WB2650P3,91,4139.224162725332
CN1424P2,91,3381.1565375672003
AS6385BF12,90,12236.947568041352
WB1418P1,89,2496.358888888889
CN2515P2,88,5715.680918656171
CB2505P1,87,2422.1666311783347
CB2628BFM2,87,4575.985344607831
CB0537P3,87,4437.748184653101
CB2648M8,87,8317.929584876356
CB2630BFM2,86,4207.891831317898
CB0520P3,86,2886.49315740614
CN1404P3,84,4716.837812154059
CB1196M3,84,5749.738545625434
CN1404P2,83,3206.785466796765
CN1425P2,83,5312.122481669128
CN1428P3,82,5586.919764415408
SP40043,80,1505.2113673042063
WB1420P1,79,2338.44376984127
AS5129P5,79,7218.209150833408
CN2443M3,78,6451.803528806463
AS1360P5,77,7002.042534024588
CB2631BFM2,76,3818.6050928691166
AS3984P3,75,6556.425611282731
NCGIFTCARD,74,4534.81557382424
AS6495P5,74,5417.468160273512
CB2624BFM2,69,3242.5578314630643
CB2566M3,69,2911.4184971293653
AC6578P1,68,3684.7439240275166
CB2417P5,67,4281.014816964785
CB2503P1,66,1679.1617285030584
AS6199P1,65,4872.884652908944
WB1449P1,64,1325.1375
WB2460BF12,63,14488.084125816093
SP40044,63,1343.903357000498
CB2629BFM2,63,3118.186453690383
SEEL-GDD,61,1776.4399027328463
CB2462M20,61,10711.238138419645
WS2446BF6,61,7916.499308864472
CB0513P3,60,3935.6238503409713
CB2507P1,60,1592.0377499318256
CB2506P1,59,1588.9446504851692
CB2508P1,58,1429.792767533212
AS2376M2,56,1652.0034647140615
AC6578P3,55,4667.309090642379
CN2442M3,55,4892.5685138339995
WB1419P1,54,1246.6340476190476
CB2613M9,52,3982.680245814904
AS3193P3,52,4775.085630669874
SP40061,51,843.8052250467192
WB1433P12,51,450.3965277777778
AS5004P3,50,2387.7851827505024
AS3193P1,50,2571.613594227999
MH-MAG-DIGI,50,287.48614266887967
WB1442P1,50,678.6665277777778
WB2650P1,49,1253.9913628126303
MH-MAGFALL23,47,350.36383748800415
WB2394BF12,46,9483.727344567178
CB2463M10,44,4934.5890829732025
WS1325P9,42,5313.060670249478
AS5008P1,42,1983.8015828921775
WB2524P1,42,1664.8063636363636
WS2446BF2,42,2005.314656232486
